LandisData PnETSpeciesParameters
PnETSpeciesParameters	KWdLit	FolLignin	H3	H4	FolN	SLWmax	SLWDel	TOfol	AmaxA	AmaxB	HalfSat	PsnTMin	PsnTOpt	PsnTMax	k	FracBelowG	FracFol	FrActWd
abiebals	0.125	0.25	105	145	0.94	200	0	0.25	5.3	21.5	100	2	19	36	0.5	0.3	0.08	0.00002
acerrubr	0.081	0.11	111	152	1.5	80	0.2	1	-46	71.9	137	4	26	48	0.58	0.3	0.03	0.00004
acersacc	0.075	0.11	105	145	1.5	70	0.2	1	-46	71.9	100	2	23	44	0.58	0.4	0.03	0.00004
betualle	0.075	0.11	105	145	1.65	80	0.2	1	-46	71.9	175	3	21	39	0.58	0.4	0.03	0.00004
betulent	0.149	0.15	105	145	2.05	80	0.2	1	-46	71.9	137	3	21	39	0.58	0.4	0.03	0.00004
betupapy	0.075	0.11	105	145	1.4	80	0.2	1	-46	71.9	137	3	21	39	0.58	0.3	0.03	0.00004
betupopu	0.075	0.11	105	145	1.4	80	0.2	1	-46	71.9	137	3	21	39	0.58	0.4	0.03	0.00004
caryglab	0.166	0.17	111	152	1.56	90	0.2	1	-46	71.9	175	2	23	44	0.58	0.4	0.03	0.00004
fagugran	0.075	0.24	111	152	1.49	80	0.2	1	-46	71.9	100	2	23	44	0.58	0.4	0.03	0.00004
fraxamer	0.075	0.12	111	152	1.52	85	0.2	1	-46	71.9	250	3	25	47	0.58	0.4	0.03	0.00004
fraxnigr	0.075	0.12	111	152	1.62	85	0.2	1	-46	71.9	137	3	23	43	0.58	0.4	0.03	0.00004
larilari	0.125	0.25	118	160	1.38	110	0	1	5.3	21.5	213	1	20	39	0.58	0.4	0.12	0.00004
ostrvirg	0.075	0.12	111	152	1.24	90	0.2	1	-46	71.9	137	3	23	43	0.58	0.4	0.03	0.00004
piceglau	0.125	0.25	118	160	0.88	225	0	0.25	5.3	21.5	175	2	20	38	0.5	0.3	0.08	0.00002
picemari	0.125	0.25	118	160	0.63	225	0	0.25	5.3	21.5	175	2	20	38	0.5	0.3	0.1	0.00002
picerube	0.125	0.25	118	160	0.68	225	0	0.25	5.3	21.5	200	2	20	38	0.5	0.3	0.08	0.00002
pinuresi	0.125	0.25	118	160	0.9	225	0	0.3333	5.3	21.5	213	3	21	39	0.5	0.4	0.12	0.00005
pinurigi	0.063	0.25	118	160	0.9	225	0	0.3333	5.3	21.5	213	3	21	39	0.5	0.4	0.12	0.00005
pinustro	0.125	0.25	118	160	0.96	225	0	0.5	5.3	21.5	175	3	21	39	0.5	0.4	0.12	0.00004
pinutaed	0.125	0.25	118	160	0.78	225	0	0.3333	5.3	21.5	213	5	30	55	0.5	0.4	0.12	0.00005
popubals	0.107	0.16	100	140	1.44	115	0.2	1	-46	71.9	250	0	21	42	0.58	0.3	0.03	0.00004
popugran	0.107	0.16	100	140	1.5	115	0.2	1	-46	71.9	250	2	22	42	0.58	0.3	0.03	0.00004
poputrem	0.107	0.16	100	140	1.5	115	0.2	1	-46	71.9	250	2	22	42	0.58	0.3	0.03	0.00004
prunsero	0.125	0.25	111	152	1.68	90	0.2	1	-46	71.9	213	3	25	47	0.58	0.4	0.03	0.00004
queralba	0.063	0.18	118	160	1.85	100	0.2	1	-46	71.9	175	2	26	50	0.58	0.4	0.03	0.00004
quercocc	0.05	0.17	118	160	1.25	95	0.2	1	-46	71.9	213	2	26	50	0.58	0.4	0.03	0.00004
querprin	0.17	0.26	111	152	1.99	81	0.2	1	-46	71.9	175	2	26	50	0.58	0.4	0.03	0.00004
querrubr	0.075	0.17	111	152	1.9	85	0.2	1	-46	71.9	175	2	24	46	0.58	0.4	0.03	0.00004
quervelu	0.17	0.18	111	152	1.9	76.5	0.2	1	-46	71.9	175	2	24	46	0.58	0.4	0.03	0.00004
thujocci	0.125	0.25	105	145	0.83	221	0	0.5	5.3	21.5	213	3	20	37	0.5	0.4	0.117	0.00005
tiliamer	0.075	0.12	111	152	1.9	67.5	0.2	1	-46	71.9	137	3	23	43	0.58	0.4	0.03	0.00004
tsugcana	0.024	0.25	105	145	1	195	0	0.3333	5.3	21.5	100	3	21	39	0.5	0.3	0.08	0.00005
ulmuamer	0.075	0.12	105	145	2.29	76.5	0.2	1	-46	71.9	137	3	23	43	0.58	0.4	0.03	0.00004
